,238_1_www.nist.gov,238_2_www.nist.gov,238_3_www.nist.gov,238_4_www.nist.gov,238_5_www.nist.gov,238_6_www.nist.gov,238_7_www.nist.gov,238_8_www.nist.gov,238_9_www.nist.gov,238_10_www.nist.gov,239_2_www.nist.gov,239_3_www.nist.gov,239_4_www.nist.gov,239_5_www.nist.gov,239_6_www.nist.gov,239_7_www.nist.gov,239_8_www.nist.gov,239_9_www.nist.gov,239_10_www.nist.gov,240_1_www.nist.gov,240_2_www.nist.gov,240_3_www.nist.gov,240_4_www.nist.gov,240_5_www.nist.gov,240_6_www.nist.gov,240_7_www.nist.gov,240_8_www.nist.gov,240_9_www.nist.gov,240_10_www.nist.gov,241_1_www.nist.gov,241_2_www.nist.gov,241_3_www.nist.gov,241_4_www.nist.gov,241_5_www.nist.gov,241_6_www.nist.gov,241_7_www.nist.gov,241_9_www.nist.gov,241_10_www.nist.gov
42,996338.44,908596.04,933515.4,901522.76,942030.68,1031281.92,904707.68,933537.0,908469.8,961550.0,187338.52,186547.44,187406.6,187344.96,194294.0,281220.04,186550.24,186947.68,190046.2,1571307.08,1611634.4399999997,1183018.3200000005,995359.68,1521731.9999999998,1350408.44,1491934.32,1399727.48,1303601.0,1653677.44,281372.0,280592.4,277895.64,375978.6,359434.0,359352.28,288073.84,286711.24,284600.2
43,1014752.84,925492.8,942507.8,906451.36,942077.64,1039201.2,920591.4800000007,936700.52,928338.16,1008787.0,187303.0,187898.72,191007.2,188559.12,196211.2,281815.16,189256.00000000003,185473.0,194364.6,1574188.6,1615279.02,1277554.16,1024524.4,1559321.8,1452501.759999999,1502760.94,1471086.74,1381036.96,1657616.46,278633.16000000003,278785.48000000004,279606.26,382160.0,359539.8,359008.4,297959.6,285119.48000000004,282560.4
44,1017153.72,932384.16,943865.6,935106.76,977841.52,1043954.68,931835.24,942832.68,935529.32,1025190.0,190088.32,191842.08,193514.4,193929.28,198138.4,283158.12,190146.44,185972.04,194196.6,1604160.7999999996,1616084.68,1365448.8,1047864.36,1560985.8,1472215.24,1531058.44,1493389.4,1475241.48,1700116.7999999996,281677.48,296037.04,283318.4,382482.2,361009.8,364538.12,338032.16,299529.16000000003,298474.99999999965
45,1017271.8,936379.2,949458.5,935433.8,1024474.2,1043824.2,936889.2,953192.6,937310.1,1027099.0,194907.4,194544.3,192601.0,193761.2,203243.5,284260.99999999994,192620.2,188395.2,193920.0,1615426.2,1663650.2,1471328.6,1128715.0,1562696.0,1472242.2,1558742.7,1500564.7,1475385.6,1708010.9,285936.4,313963.0,286432.7,384348.5,362200.0,377461.8000000001,367138.5,320799.1999999999,312203.9999999999
46,1020511.36,939984.36,970840.4,934730.44,1027010.52,1046526.24,938761.76,993129.08,939420.0,1034904.0,194169.76,195274.84,193008.4,193294.6,202280.0,288376.44,194557.32,192109.32,211934.20000000004,1644989.92,1664420.72,1481071.8000000003,1230809.84,1603688.1999999997,1492034.0399999996,1559545.52,1516219.08,1480501.76,1713509.8,284403.28,343989.39999999985,287595.72,395537.0,368984.8,379389.32,366688.88,362451.76,351660.99999999953
47,1026566.08,941777.44,999524.6,939580.08,1030501.52,1048685.8,942297.52,1025264.6,945924.12,1045566.0,206292.96,193789.44000000003,201864.0,198431.35999999987,212012.00000000003,289117.36,205693.08000000005,192446.72,237171.7,1668129.4800000002,1673828.56,1521910.92,1330347.279999999,1651537.2,1535320.9199999997,1564544.98,1538334.02,1499576.32,1721474.24,286034.32,358540.1,287144.16000000003,396940.9,379840.6,379426.48,368324.02,367650.44,367385.4
48,1029304.6,976710.1999999998,1033517.6,961857.24,1034936.44,1050950.16,950722.6800000002,1027244.12,968802.52,1046849.0,223853.76,222873.91999999995,211251.99999999997,218722.63999999984,222013.8,288999.76,226232.92,205160.80000000005,247604.00000000012,1712383.68,1677993.96,1551957.08,1433296.5999999994,1655274.0,1550665.16,1637714.04,1559312.88,1545966.0400000003,1736091.84,310931.16000000003,358429.52,301392.64000000013,396954.4,379816.6,379545.32,369334.4,367637.16,367953.6
49,1032560.52,1009143.88,1035338.6,983982.6,1041121.2,1050892.08,977987.8400000002,1031385.68,1004619.4799999995,1050327.0,248715.68,234083.12,235290.99999999985,235500.83999999997,242466.8,289051.12,243897.92,223698.32000000007,252519.8,1714348.84,1677945.48,1552888.4400000004,1529280.7599999998,1664835.2,1554423.24,1652702.38,1560319.56,1559631.72,1735909.92,339761.5600000005,360100.46,327640.06,396860.8,379754.2,379412.84,374090.48,373818.4,369576.6
50,127.0,112.0,128.0,113.0,134.0,148.0,114.0,122.0,112.0,136.0,95.0,94.0,95.0,95.0,101.0,145.0,91.0,94.0,101.0,182.0,191.0,133.0,126.0,163.0,136.0,155.0,144.0,144.0,192.0,108.0,103.0,108.0,152.0,118.0,121.0,118.0,117.0,115.0
51,255.0,236.0,267.0,249.0,280.0,273.0,260.0,250.0,259.0,264.0,128.0,137.0,145.0,137.0,144.0,186.0,123.0,124.0,134.0,406.0,410.0,325.0,326.0,347.0,336.0,334.0,303.0,310.0,387.0,160.0,160.0,171.0,213.0,172.0,171.0,159.0,169.0,165.0
